,MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT
251,short,FXSUSDT,30:9:52:14,9.85400000,30:9:53:14,9.86900000,False
252,long,PERPUSDT,30:9:53:19,1.18880000,30:9:54:19,1.18880000,False
253,long,SOLUSDT,30:9:53:26,102.65000000,30:9:54:26,102.70000000,True
254,long,BANDUSDT,30:9:53:33,1.70200000,30:9:54:33,1.70200000,False
255,long,AIUSDT,30:9:54:1,1.21063000,30:9:55:1,1.21027000,False
256,short,FETUSDT,30:9:54:31,0.62170000,30:9:55:31,0.62110000,True
257,long,MAVUSDT,30:9:55:13,0.59220000,30:9:56:13,0.59070000,False
258,long,WLDUSDT,30:9:55:43,2.38300000,30:9:56:43,2.38100000,False
259,long,TUSDT,30:9:56:12,0.02677000,30:9:57:12,0.02675000,False
260,long,AGLDUSDT,30:9:56:18,1.14000000,30:9:57:18,1.14000000,False
261,long,CHRUSDT,30:9:56:41,0.25940000,30:9:57:41,0.25930000,False
262,short,ILVUSDT,30:9:57:36,77.59000000,30:9:58:36,77.63000000,False
263,short,MANTAUSDT,30:9:59:5,3.65480000,30:10:00:5,3.65955000,False
264,short,CVCUSDT,30:9:59:11,0.09480000,30:10:00:11,0.09490000,False
265,long,SFPUSDT,30:10:0:13,0.69150000,30:10:01:13,0.69220000,True
266,long,CAKEUSDT,30:10:3:13,2.62000000,30:10:04:104,2.62200000,True
267,short,OCEANUSDT,30:10:3:55,0.43930000,30:10:04:55,0.43920000,True
268,short,ACEUSDT,30:10:4:8,9.56000000,30:10:05:8,9.56810000,False
269,long,STEEMUSDT,30:10:5:54,0.22060000,30:10:06:064,0.22060000,False
270,short,ALTUSDT,30:10:7:1,0.43390000,30:10:08:1,0.43415000,False
271,long,SCUSDT,30:10:7:29,0.00883600,30:10:08:29,0.00884200,True
272,short,PHBUSDT,30:10:8:42,0.89900000,30:10:09:42,0.89910000,False
273,short,YFIUSDT,30:10:9:25,7327.00000000,30:10:10:25,7320.00000000,True
