MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT
long,SFPUSDT,30:10:0:13,,30:10:01:13,,
long,CAKEUSDT,30:10:3:13,,30:10:04:104,,
short,OCEANUSDT,30:10:3:55,,30:10:04:55,,
short,ACEUSDT,30:10:4:8,,30:10:05:8,,
long,STEEMUSDT,30:10:5:54,,30:10:06:064,,
short,ALTUSDT,30:10:7:1,,30:10:08:1,,
long,SCUSDT,30:10:7:29,,30:10:08:29,,
short,PHBUSDT,30:10:8:42,,30:10:09:42,,
short,YFIUSDT,30:10:9:25,,30:10:10:25,,
long,OXTUSDT,30:10:9:27,,30:10:10:27,,
long,ADAUSDT,30:10:9:37,,30:10:10:37,,
long,ATAUSDT,30:10:10:30,,30:10:11:30,,
short,MTLUSDT,30:10:11:57,,30:10:12:57,,
short,CTKUSDT,30:10:11:57,,30:10:12:57,,
short,ATAUSDT,30:10:12:30,,30:10:13:30,,
short,YGGUSDT,30:10:12:31,,30:10:13:31,,
short,HOTUSDT,30:10:12:45,,30:10:13:45,,
long,CTSIUSDT,30:10:14:15,,30:10:15:15,,
long,DUSKUSDT,30:10:15:9,,30:10:16:9,,
short,LITUSDT,30:10:15:33,,30:10:16:33,,
short,RIFUSDT,30:10:15:58,,30:10:16:58,,
short,INJUSDT,30:10:16:3,,30:10:17:3,,
short,WAXPUSDT,30:10:17:7,,30:10:18:7,,
long,DGBUSDT,30:10:17:15,,30:10:18:15,,
short,IDEXUSDT,30:10:17:32,,30:10:18:32,,
long,LSKUSDT,30:10:17:57,,30:10:18:57,,
short,NMRUSDT,30:10:20:57,,30:10:21:57,,
short,THETAUSDT,30:10:21:15,,30:10:22:15,,
long,PEOPLEUSDT,30:10:21:20,,30:10:22:20,,
long,KAVAUSDT,30:10:22:23,,30:10:23:23,,
short,TLMUSDT,30:10:22:46,,30:10:23:46,,
short,UNIUSDT,30:10:23:44,,30:10:24:44,,
long,IOTAUSDT,30:10:23:52,,30:10:24:52,,
long,HBARUSDT,30:10:24:14,,30:10:25:14,,
long,GRTUSDT,30:10:24:31,,30:10:25:31,,
long,BADGERUSDT,30:10:25:9,,30:10:26:9,,
long,1000SATSUSDT,30:10:25:38,,30:10:26:38,,
long,MAGICUSDT,30:10:25:40,,30:10:26:40,,
long,IDUSDT,30:10:25:54,,30:10:26:54,,
long,XLMUSDT,30:10:25:54,,30:10:26:54,,
